Abbr,AtomicVolume,AtomicWeight,BoilingT,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSmagmom,HeatCapacityMass,HeatCapacityMolar,HeatFusion,MeltingT,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,Polarizability,Row,SpaceGroupNumber
Sn,26.9667852620646,118.71,2875.0,14.0,139.0,7310.0,7.06,107.3,1.96,7.34392,7.15,0.0,0.0,0.227,26.99,7.15,505.08,80.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,50.0,4.0,14.0,7.06,5.0,141.0
Sb,30.1914234437891,121.76,1860.0,15.0,139.0,6697.0,6.6,103.2,2.05,8.60839,19.79,0.0,0.0,0.207,25.23,19.79,903.78,85.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,51.0,3.0,15.0,6.6,5.0,166.0
Te,33.9566887225472,127.6,1261.0,16.0,138.0,6240.0,5.5,190.2,2.1,9.0096,17.38,0.464,0.0,0.202,25.73,17.38,722.66,90.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,52.0,2.0,16.0,5.5,5.0,152.0
I,42.6588574686339,126.90447,457.3,17.0,139.0,4940.0,5.025,295.2,2.66,10.45126,7.76,1.062,0.0,0.214,54.43,7.76,386.85,96.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,53.0,1.0,17.0,5.025,5.0,64.0
Xe,36952.9240243401,131.293,165.0,18.0,140.0,5.9,4.044,0.0,2.6,12.12984,2.27,6.456,0.0,0.158,20.786,2.27,161.3,102.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,2.0,54.0,0.0,18.0,4.044,5.0,225.0
Cs,117.456015807924,132.9054519,944.0,1.0,244.0,1879.0,59.42,45.5,0.79,3.893905,2.09,0.0,0.0,0.242,32.21,2.09,301.59,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,55.0,1.0,1.0,59.42,6.0,229.0
Ba,64.9692816746952,137.327,2143.0,2.0,215.0,3510.0,39.7,13.95,0.89,5.211664,7.12,0.0,0.0,0.204,28.07,7.12,1000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,56.0,0.0,2.0,39.7,6.0,229.0
La,37.5306461188031,138.90547,3737.0,3.0,207.0,6146.0,31.1,48.0,1.1,5.5769,6.2,0.0,0.0,0.195,27.11,6.2,1193.0,13.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,9.0,3.0,31.1,6.0,194.0
Ce,34.7845014783339,140.116,3633.0,3.0,204.0,6689.0,29.6,50.0,1.12,5.5387,5.46,0.0,0.0,0.192,26.94,5.46,1071.0,15.0,9.0,1.0,13.0,1.0,0.0,0.0,0.0,2.0,58.0,22.0,4.0,29.6,6.0,194.0
Pr,35.2391757331551,140.90765,3563.0,3.0,203.0,6640.0,28.2,50.0,1.13,5.473,6.89,0.0,0.0,0.193,27.2,6.89,1204.0,17.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,59.0,11.0,5.0,28.2,6.0,194.0
